service_id,date,exception_type
FERIAL_013501,20210813,1
FERIAL_012899,20210814,1
FERIAL_012999,20210814,1
FERIAL_013501,20210814,1
FERIAL_012899,20210815,1
FERIAL_012999,20210815,1
FERIAL_013501,20210815,1
FERIAL_012899,20210816,1
FERIAL_012999,20210816,1
FERIAL_013501,20210816,1
FERIAL_012899,20210817,1
FERIAL_012999,20210817,1
FERIAL_013501,20210817,1
FERIAL_012899,20210818,1
FERIAL_012999,20210818,1
FERIAL_013501,20210818,1
FERIAL_012899,20210819,1
FERIAL_012999,20210819,1
FERIAL_013501,20210819,1
FERIAL_012899,20210820,1
FERIAL_012999,20210820,1
FERIAL_013501,20210820,1
FERIAL_012899,20210821,1
FERIAL_012999,20210821,1
FERIAL_013501,20210821,1
FERIAL_012899,20210822,1
FERIAL_012999,20210822,1
FERIAL_013501,20210822,1
FERIAL_012899,20210823,1
FERIAL_012999,20210823,1
FERIAL_013501,20210823,1
FERIAL_012899,20210824,1
FERIAL_012999,20210824,1
FERIAL_013501,20210824,1
FERIAL_012899,20210825,1
FERIAL_012999,20210825,1
FERIAL_013501,20210825,1
FERIAL_012899,20210826,1
FERIAL_012999,20210826,1
FERIAL_013501,20210826,1
FERIAL_012899,20210827,1
FERIAL_012999,20210827,1
FERIAL_013501,20210827,1
FERIAL_012899,20210828,1
FERIAL_012999,20210828,1
FERIAL_013501,20210828,1
FERIAL_012899,20210829,1
FERIAL_012999,20210829,1
FERIAL_013501,20210829,1
FERIAL_012899,20210830,1
FERIAL_012999,20210830,1
FERIAL_013501,20210830,1
FERIAL_012899,20210831,1
FERIAL_012999,20210831,1
FERIAL_013501,20210831,1
FESINV01_010101,20210613,1
FESINV01_010102,20210613,1
FESINV01_010101,20210620,1
FESINV01_010102,20210620,1
FESINV01_010101,20210627,1
FESINV01_010102,20210627,1
FESINV01_010101,20210704,1
FESINV01_010102,20210704,1
FESINV01_010101,20210711,1
FESINV01_010102,20210711,1
FESINV01_010101,20210718,1
FESINV01_010102,20210718,1
FESINV01_010101,20210725,1
FESINV01_010102,20210725,1
FESINV01_010101,20210905,1
FESINV01_010102,20210905,1
FESINV01_010101,20210912,1
FESINV01_010102,20210912,1
FESINV01_010101,20210919,1
FESINV01_010102,20210919,1
FESINV01_010101,20210926,1
FESINV01_010102,20210926,1
FESINV01_010101,20211003,1
FESINV01_010102,20211003,1
FESINV01_010101,20211010,1
FESINV01_010102,20211010,1
FESINV01_010101,20211017,1
FESINV01_010102,20211017,1
FESINV01_010101,20211024,1
FESINV01_010102,20211024,1
FESINV01_010101,20211031,1
FESINV01_010102,20211031,1
FESINV03_010301,20210613,1
FESINV03_010302,20210613,1
FESINV03_010301,20210620,1
FESINV03_010302,20210620,1
FESINV03_010301,20210627,1
FESINV03_010302,20210627,1
FESINV03_010301,20210704,1
FESINV03_010302,20210704,1
FESINV03_010301,20210711,1
FESINV03_010302,20210711,1
FESINV03_010301,20210718,1
FESINV03_010302,20210718,1
FESINV03_010301,20210725,1
FESINV03_010302,20210725,1
FESINV03_010301,20210905,1
FESINV03_010302,20210905,1
FESINV03_010301,20210912,1
FESINV03_010302,20210912,1
FESINV03_010301,20210919,1
FESINV03_010302,20210919,1
FESINV03_010301,20210926,1
FESINV03_010302,20210926,1
FESINV03_010301,20211003,1
FESINV03_010302,20211003,1
FESINV03_010301,20211010,1
FESINV03_010302,20211010,1
FESINV03_010301,20211017,1
FESINV03_010302,20211017,1
FESINV03_010301,20211024,1
FESINV03_010302,20211024,1
FESINV03_010301,20211031,1
FESINV03_010302,20211031,1
FESINV08_010801,20210613,1
FESINV08_010802,20210613,1
FESINV08_010801,20210620,1
FESINV08_010802,20210620,1
FESINV08_010801,20210627,1
FESINV08_010802,20210627,1
FESINV08_010801,20210704,1
FESINV08_010802,20210704,1
FESINV08_010801,20210711,1
FESINV08_010802,20210711,1
FESINV08_010801,20210718,1
FESINV08_010802,20210718,1
FESINV08_010801,20210725,1
FESINV08_010802,20210725,1
FESINV08_010801,20210905,1
