shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_9,42.863571140939,-2.65540388775816,934,7193
Route_9,42.8632344025526,-2.65572250759626,935,7239
Route_9,42.8630905579639,-2.6558021107054,936,7256
Route_9,42.8630231002653,-2.65582926336191,937,7264
Route_9,42.8628159074103,-2.65580516575191,938,7287
Route_9,42.8626717363619,-2.65577612787008,939,7303
Route_9,42.8625456444477,-2.65576994223283,940,7317
Route_9,42.8625006190099,-2.65577019223627,941,7322
Route_9,42.8624556579391,-2.65579186418646,942,7327
Route_9,42.8622045884342,-2.65615055013981,943,7368
Route_9,42.8614734415882,-2.65707804493389,944,7479
Route_9,42.8613030774418,-2.65732380903268,945,7507
Route_9,42.8613254711612,-2.65728390170348,946,7511
Route_9,42.8605857046352,-2.65834377267191,947,7630
Route_9,42.8599309646202,-2.65923101469435,948,7733
Route_9,42.8592852453836,-2.66012583891159,949,7835
Route_9,42.85906551889,-2.66042999938121,950,7870
Route_9,42.8586126191602,-2.66105980832311,951,7942
Route_9,42.8585724085161,-2.66116560287603,952,7952
Route_9,42.8585860881144,-2.66122367074894,953,7957
Route_9,42.8587760703233,-2.66151870202072,954,7989
Route_9,42.8591106255593,-2.66197972550402,955,8041
Route_9,42.8591333075876,-2.66203697994988,956,8047
Route_9,42.859048873427,-2.66241537007618,957,8079
Route_9,42.8590221894648,-2.66252797623304,958,8089
Route_9,42.8589864642455,-2.66262839085346,959,8098
Route_9,42.8589238272368,-2.66276414352696,960,8111
Route_9,42.8575563706492,-2.66321988357099,961,8267
Route_9,42.8573719594346,-2.6632866768451,962,8288
Route_9,42.8572820253197,-2.66332694616473,963,8299
Route_9,42.8572281880277,-2.66339303000769,964,8307
Route_9,42.8564522673235,-2.66442694306569,965,8428
Route_9,42.8563356266146,-2.6645729255721,966,8445
Route_9,42.8556630058879,-2.6655213370332,967,8553
Route_9,42.8551518297305,-2.66624930679189,968,8635
Route_9,42.8544072472958,-2.667230197346,969,8750
Route_9,42.8543850788663,-2.66734888862746,970,8760
Route_9,42.8543402443145,-2.66741491759198,971,8768
Route_9,42.8543178470088,-2.66745481676852,972,8772
Route_9,42.8542503086729,-2.66745517893263,973,8779
Route_9,42.8541555240437,-2.66737612928767,974,8792
Route_9,42.8539982410384,-2.66748253984718,975,8811
Route_9,42.8535721819131,-2.66806543857921,976,8878
Route_9,42.8522581554929,-2.66988006371477,977,9086
Route_9,42.8521233454087,-2.66997334082153,978,9103
Route_9,42.8519703355368,-2.67000092838504,979,9120
Route_9,42.8512801497755,-2.6695555782993,980,9205
Route_9,42.8503058059813,-2.66894040918154,981,9324
Route_9,42.8495890232713,-2.6686413253034,982,9408
Route_9,42.8492013074082,-2.66847205478022,983,9453
Route_9,42.848858729818,-2.66834155561798,984,9492
Route_9,42.8481962043926,-2.66812098052872,985,9568
Route_9,42.8478175681836,-2.66797767506234,986,9612
Route_9,42.8470196589605,-2.66765227755165,987,9704
Route_9,42.8469116352024,-2.66766585945818,988,9716
Route_9,42.8460658677123,-2.66791668199531,989,9812
Route_9,42.8455349288457,-2.66804496351919,990,9872
Route_9,42.8448887716906,-2.6681918656099,991,9945
Route_9,42.8441085332474,-2.66836924650272,992,10033
Route_9,42.8440095432511,-2.66839272131221,993,10044
Route_9,42.8436766213159,-2.66848704778445,994,10082
Route_9,42.8436270731869,-2.66848042890451,995,10087
Route_9,42.843604478472,-2.6684522502062,996,10091
Route_9,42.8424732849668,-2.66809576325602,997,10220
Route_9,42.8417167985476,-2.66808068955732,998,10304
Route_9,42.841652261367,-2.66756324786493,999,10347
Route_9,42.8415970070014,-2.6671421253789,1000,10382
Route_9,42.8415608086961,-2.66708113362206,1001,10388
Route_9,42.8414795002299,-2.66699132074709,1002,10400
Route_9,42.8413847951721,-2.66693982114802,1003,10411
Route_9,42.8411684496526,-2.66686450056612,1004,10436
Route_9,42.8406148852947,-2.66695389668207,1005,10498
Route_9,42.8405339102431,-2.66697880532214,1006,10507
Route_9,42.8404440034057,-2.66702900058768,1007,10518
Route_9,42.8403272211474,-2.6671275228998,1008,10533
Route_9,42.839775192531,-2.66774615049071,1009,10612
Route_9,42.8396495131396,-2.66788219325718,1010,10630
Route_9,42.839394293484,-2.66837608914021,1011,10680
Route_9,42.839344942318,-2.66843753668117,1012,10687
Route_9,42.8385304045209,-2.66858949314242,1013,10778
Route_9,42.8383504455566,-2.66864016533351,1014,10799
Route_9,42.8374144440679,-2.66882947406229,1015,10904
Route_9,42.8366001550901,-2.66906783741556,1016,10996
Route_9,42.8363033410121,-2.66919254662317,1017,11031
Route_9,42.8361279438782,-2.66926383934205,1018,11051
Route_9,42.8352688728982,-2.66958731734848,1019,11150
Route_9,42.8351656819877,-2.66971557929878,1020,11166
Route_9,42.8351075166497,-2.66984360127573,1021,11178
Route_9,42.8350672050376,-2.66991723120834,1022,11185
Route_9,42.8350178595971,-2.66998096741562,1023,11193
Route_9,42.8349594318891,-2.67001798580229,1024,11200
Route_9,42.8349009513112,-2.67003665058257,1025,11207
Route_9,42.8348513965873,-2.67002773716664,1026,11212
Route_9,42.8348063708649,-2.67002797657719,1027,11217
Route_9,42.8347522607044,-2.67000073363065,1028,11224
Route_9,42.8347026553123,-2.66997423151473,1029,11230
Route_9,42.8346845062332,-2.66992614942967,1030,11234
Route_9,42.8346662337303,-2.66983524261753,1031,11242
Route_9,42.8346524284567,-2.66973207625638,1032,11250
Route_9,42.8346926760079,-2.66963626958386,1033,11259
Route_9,42.8347240065601,-2.66957109987849,1034,11266
Route_9,42.8347958315449,-2.66949577281578,1035,11276
Route_9,42.8348498315236,-2.66948477883941,1036,11282
Route_9,42.8349218417885,-2.66947368891822,1037,11290
Route_9,42.8349804678793,-2.669505495888,1038,11297
Route_9,42.8350030425046,-2.66952678848558,1039,11300
Route_9,42.8350976582754,-2.66954769748115,1040,11311
Route_9,42.8351832071392,-2.66954724193354,1041,11320
